Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
79. Divine Madness,1980,1h 35m,R,6.9,998,,"Movie comedy queen Bette Midler reigns supreme in this rocking, rolling concert movie bash. The Divine Miss M at her trashiest, flashiest, heavenly best!",https://www.imdb.com/title/tt0080634/?ref_=sr_i_79,"['Bette Midler', 'Jocelyn Brown', 'Ula Hedwig']",Michael Ritchie,"['Bette Midler', 'Jocelyn Brown', 'Ula Hedwig', 'Diva Gray', 'Irving Sudrow', 'Tony Berg', 'Jon Bonine', 'Joey Carbone', 'Randy Kerber']",,"$769,787","$5,318,098","$5,318,098","September 26, 1980",['United States'],"Pasadena Civic Auditorium - 300 E. Green Street, Pasadena, California, USA",['The Ladd Company'],1 nomination total,"['Stand-Up', 'Comedy', 'Documentary', 'Music']",['English']
80. In God We Trust (or Gimme That Prime Time Religion),1980,1h 37m,PG,5.4,1.3K,,"Raised in a Trappist monastery, the innocent Brother Ambrose sets out to find money to save the bankrupt monastery. His education in worldliness is provided by a hooker. He eventually petitions G. O. D. For the cash.",https://www.imdb.com/title/tt0080917/?ref_=sr_i_80,"['Marty Feldman', 'Peter Boyle', 'Louise Lasser']",Marty Feldman,"['Marty Feldman', 'Peter Boyle', 'Louise Lasser', 'Richard Pryor', 'Andy Kaufman', 'Wilfrid Hyde-White', 'Severn Darden', 'Eddie Parks', 'Stephanie Ross', 'Richard A. Roth']",,"$2,008,150","$5,215,015","$5,215,015","September 26, 1980",['United States'],"San Diego, California, USA",['Universal Pictures'],,"['Parody', 'Satire', 'Comedy']",['English']
81. The Watcher in the Woods,1980,1h 24m,PG,6.1,7.4K,52.0,"When a family moves to a country home, the young girls experience strange happenings that have a link to an occult event years past.",https://www.imdb.com/title/tt0081738/?ref_=sr_i_81,"['Brian Clemens', 'Harry Spalding', 'Rosemary Anne Sisson']",John Hough,"['Bette Davis', 'Lynn-Holly Johnson', 'Kyle Richards', 'Carroll Baker', 'David McCallum', 'Benedict Taylor', 'Frances Cuka', 'Richard Pasco', 'Ian Bannen', 'Katharine Levy']",,,"$5,000,000","$5,000,000","October 9, 1981","['United Kingdom', 'United States']","Ettington Park, Warwickshire, England, UK",['Walt Disney Productions'],1 win & 4 nominations total,"['Family', 'Horror', 'Mystery', 'Thriller']",['English']
82. He Knows You're Alone,1980,1h 34m,R,5.0,4.4K,41.0,"A young bride-to-be is being stalked upon by a serial killer in Staten Island. She gets help from a former lover, but will they manage to escape?",https://www.imdb.com/title/tt0080850/?ref_=sr_i_82,"['Don Scardino', ""Caitlin O'Heaney"", 'Elizabeth Kemp']",Armand Mastroianni,"['Don Scardino', ""Caitlin O'Heaney"", 'Elizabeth Kemp', 'Tom Rolfing', 'Lewis Arlt', 'Patsy Pease', 'James Rebhorn', 'Tom Hanks', 'Dana Barron', 'Joseph Leon']","$250,000 (estimated)","$748,824","$4,875,436","$4,875,436","August 29, 1980",['United States'],"Staten Island, New York City, New York, USA",['Metro-Goldwyn-Mayer (MGM)'],,"['Slasher Horror', 'Horror', 'Thriller']",['English']
83. Coast to Coast,1980,1h 35m,PG,5.2,494,,"A wealthy neurotic woman escapes from a New York mental asylum, and hitches a ride back to California with a moody down-on-his-luck cowboy trucker. They fall in love with each other while on the run from bounty hunters and a repo man.",https://www.imdb.com/title/tt0080550/?ref_=sr_i_83,"['Dyan Cannon', 'Robert Blake', 'Quinn K. Redeker']",Joseph Sargent,"['Dyan Cannon', 'Robert Blake', 'Quinn K. Redeker', 'Michael Lerner', 'Maxine Stuart', 'William Lucking', 'Ellen Gerstein', 'Patricia Conklin', 'David Moody', 'Rozelle Gayle']",,,"$4,495,445","$4,495,445","October 3, 1980",['United States'],"Stockton, California, USA",['Paramount Pictures'],2 nominations total,"['Comedy', 'Drama', 'Romance']",['English']
84. Willie & Phil,1980,1h 55m,R,5.9,553,,"Remake of Jules et Jim following the experiences over a decade of two friends who fall in love with the same woman, enjoyably satirising the 70's through the search by the three protagonists for their identities and making sharp attacks on cultural signposts of the decade along the way. The film also studies relationships, what its director calls ""wanting something permanent yet wanting to be free"".",https://www.imdb.com/title/tt0081758/?ref_=sr_i_84,"['Paul Mazursky', 'Henri-Pierre Roché', 'François Truffaut']",Paul Mazursky,"['Michael Ontkean', 'Margot Kidder', 'Ray Sharkey', 'Jan Miner', 'Tom Brennan', 'Julie Bovasso', 'Louis Guss', 'Kathleen Maguire', 'Kaki Hunter', 'Kristine DeBell']","$5,500,000 (estimated)",,"$4,400,000","$4,400,000","August 15, 1980",['United States'],"Bleecker Street, Manhattan, New York City, New York, USA",['Twentieth Century Fox'],,"['Comedy', 'Drama', 'Romance']",['English']
85. Melvin and Howard,1980,1h 35m,R,6.8,5.5K,,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",https://www.imdb.com/title/tt0081150/?ref_=sr_i_85,"['Paul Le Mat', 'Jason Robards', 'Elizabeth Cheshire']",Jonathan Demme,"['Paul Le Mat', 'Jason Robards', 'Elizabeth Cheshire', 'Mary Steenburgen', 'Chip Taylor', 'Melvin E. Dummar', 'Michael J. Pollard', 'Denise Galik', 'Gene Borkan', 'Lesley Margret Burton']","$7,000,000 (estimated)",,"$4,309,490","$4,309,490","September 19, 1980",['United States'],"Las Vegas, Nevada, USA",['Universal Pictures'],17 wins & 9 nominations total,"['Comedy', 'Drama']",['English']
86. Roadie,1980,1h 46m,PG,5.3,1.5K,,"A young Texas good ol' boy has a knack with electronic equipment, and that talent gets him a job as a roadie with a raucous travelling rock-and-roll show.",https://www.imdb.com/title/tt0081433/?ref_=sr_i_86,"['Big Boy Medlin', 'Michael Ventura', 'Zalman King']",Alan Rudolph,"['Meat Loaf', 'Kaki Hunter', 'Art Carney', 'Gailard Sartain', 'Don Cornelius', 'Rhonda Bates', 'Joe Spano', 'Richard Marion', 'Sonny Carl Davis', 'Ginger Varney']","$4,700,000 (estimated)","$1,002,263","$4,226,370","$4,226,370","June 13, 1980",['United States'],"Soap Creek Saloon, Austin, Texas, USA","['Alive Enterprises', 'Vivant Productions']",1 win & 1 nomination total,"['Comedy', 'Music']",['English']
87. Gloria,1980,2h 3m,PG,7.1,12K,68.0,"When a young boy's family is killed by the mob, their tough neighbor Gloria becomes his reluctant guardian. In possession of a book that the gangsters want, the pair go on the run in New York.",https://www.imdb.com/title/tt0080798/?ref_=sr_i_87,"['Gena Rowlands', 'Buck Henry', 'Julie Carmen']",John Cassavetes,"['Gena Rowlands', 'Buck Henry', 'Julie Carmen', 'Tony Knesich', 'Gregory Cleghorne', 'John Adames', 'Lupe Garnica', 'Jessica Castillo', 'Tom Noonan', 'Ronald Maccone']",,"$33,767","$4,062,212","$4,059,673","October 1, 1980",['United States'],"Trinity Church Cemetery - 770 Riverside Drive, Manhattan, New York City, New York, USA",['Columbia Pictures'],4 wins & 5 nominations total,"['Crime', 'Drama', 'Thriller']",['English']
88. Kagemusha: The Shadow Warrior,1980,2h 42m,PG,7.9,39K,84.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,https://www.imdb.com/title/tt0080979/?ref_=sr_i_88,"['Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara""]",Akira Kurosawa,"['Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara"", 'Jinpachi Nezu', 'Hideji Ôtaki', 'Daisuke Ryû', 'Masayuki Yui', 'Kaori Momoi', 'Mitsuko Baishô', 'Hideo Murota']","$6,000,000 (estimated)",,"$4,018,532","$4,000,000","October 10, 1980","['Japan', 'United States']","Himeji Castle, Himeji, Japan","['Kurosawa Production Co.', 'Toho', 'Twentieth Century Fox']",20 wins & 5 nominations total,"['Epic', 'Historical Epic', 'Period Drama', 'Tragedy', 'War Epic', 'Drama', 'History', 'War']",['Japanese']
89. Resurrection,1980,1h 43m,PG,7.1,3.5K,,A woman enters the afterlife briefly after a car crash that kills her husband. But she survives - and finds herself possessing strange powers.,https://www.imdb.com/title/tt0081414/?ref_=sr_i_89,"['Ellen Burstyn', 'Sam Shepard', 'Richard Farnsworth']",Daniel Petrie,"['Ellen Burstyn', 'Sam Shepard', 'Richard Farnsworth', 'Roberts Blossom', 'Clifford David', 'Pamela Payton-Wright', 'Jeffrey DeMunn', 'Eva Le Gallienne', 'Lois Smith', 'Madeleine Sherwood']","$6,000,000 (estimated)","$308,068","$3,910,019","$3,910,019","September 26, 1980",['United States'],"Shiner, Texas, USA",['Universal Pictures'],3 wins & 9 nominations total,"['Drama', 'Fantasy']",['English']
90. Hide in Plain Sight,1980,1h 32m,PG,6.4,1.1K,,"A divorced factory worker in 1967 Buffalo fights for custody of his children after his ex-wife marries a low-level mobster who enters the witness protection program, battling with government officials who seem to have little sympathy.",https://www.imdb.com/title/tt0080868/?ref_=sr_i_90,"['James Caan', 'Jill Eikenberry', 'Robert Viharo']",James Caan,"['James Caan', 'Jill Eikenberry', 'Robert Viharo', 'Joe Grifasi', 'Barbra Rae', 'Kenneth McMillan', 'Josef Sommer', 'Danny Aiello', 'Thomas Hill', 'Chuck Hicks']",,"$810,109","$3,806,930","$3,806,930","March 21, 1980",['United States'],"Buffalo, New York, USA",['Metro-Goldwyn-Mayer (MGM)'],,['Drama'],['English']
91. When Time Ran Out...,1980,2h 1m,PG,4.6,3.4K,25.0,An active volcano threatens a south Pacific island resort and its guests as a power struggle ensues between the property's developer and a drilling foreman.,https://www.imdb.com/title/tt0081747/?ref_=sr_i_91,"['Gordon Thomas', 'Max Morgan Witts', 'Carl Foreman']",James Goldstone,"['Paul Newman', 'Jacqueline Bisset', 'William Holden', 'Edward Albert', 'Red Buttons', 'Barbara Carrera', 'Valentina Cortese', 'Veronica Hamel', 'Alex Karras', 'Burgess Meredith']","$20,000,000 (estimated)","$1,400,994","$3,763,988","$3,763,988","March 28, 1980",['United States'],"Sheraton Keauhou Bay Resort and Spa - 78-128 Ehukai Street, Kailua-Kona, Hawaii, USA",['International Cinema'],2 nominations total,"['Action', 'Adventure', 'Drama', 'Thriller']",['English']
92. Heaven's Gate,1980,3h 39m,R,6.7,18K,57.0,"During the Johnson County War in 1890 Wyoming, a sheriff born into wealth does his best to protect immigrant farmers from rich cattle interests.",https://www.imdb.com/title/tt0080855/?ref_=sr_i_92,"['Kris Kristofferson', 'Christopher Walken', 'John Hurt']",Michael Cimino,"['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston', 'Brad Dourif', 'Isabelle Huppert', 'Joseph Cotten', 'Jeff Bridges', 'Ronnie Hawkins', 'Paul Koslo']","$44,000,000 (estimated)",,"$3,484,523","$3,484,331","April 24, 1981",['United States'],"Kalispell, Montana, USA",['Partisan Productions'],2 wins & 9 nominations total,"['Costume Drama', 'Epic', 'Period Drama', 'Western Epic', 'Adventure', 'Drama', 'Western']","['English', 'Serbo-Croatian', 'Russian', 'French', 'Polish', 'German', 'Ukrainian']"
93. The Last Metro,1980,2h 12m,PG,7.3,16K,,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Germans while doing both of their jobs.",https://www.imdb.com/title/tt0080610/?ref_=sr_i_93,"['François Truffaut', 'Suzanne Schiffman', 'Jean-Claude Grumberg']",François Truffaut,"['Catherine Deneuve', 'Gérard Depardieu', 'Jean Poiret', 'Andréa Ferréol', 'Paulette Dubost', 'Jean-Louis Richard', 'Sabine Haudepin', 'Maurice Risch', 'Heinz Bennent', 'Christian Baltauss']",,"$11,206","$3,007,945","$3,007,945","February 19, 1981",['France'],"Clichy, Hauts-de-Seine, France","['Les Films du Carrosse', 'Sédif Productions', 'TF1 Films Production']",13 wins & 7 nominations total,"['Political Drama', 'Workplace Drama', 'Drama', 'Romance', 'War']","['French', 'German', 'Italian']"
94. North Sea Hijack,1980,1h 35m,PG,6.3,6K,58.0,"When terrorists take over two oil rigs, and threaten to blow them up if their demands are not met, an eccentric anti-terrorism expert volunteers his unique commando unit to stop them.",https://www.imdb.com/title/tt0081809/?ref_=sr_i_94,['Jack Davies'],Andrew V. McLaglen,"['Roger Moore', 'James Mason', 'Anthony Perkins', 'Michael Parks', 'David Hedison', 'Jack Watson', 'George Baker', 'Jeremy Clyde', 'David Wood', 'Faith Brook']",,"$805,511","$2,993,772","$2,993,772","April 18, 1980",['United Kingdom'],"Galway City, County Galway, Ireland","['Cinema Seven Productions', 'Universal Pictures']",1 nomination total,"['Dark Comedy', 'Action', 'Adventure', 'Thriller']",['English']
95. Midnight Madness,1980,1h 52m,PG,6.3,4K,28.0,Leon picks college students to participate in his all night scavenger hunt. Five teams receive clues to solve leading them to the next clue site hidden in the city.,https://www.imdb.com/title/tt0081159/?ref_=sr_i_95,"['David Naughton', 'Debra Clinger', 'Joel Kenney']",Michael Nankin,"['David Naughton', 'Debra Clinger', 'Joel Kenney', 'David Damas', 'Michael J. Fox', 'Stephen Furst', 'Patricia Alice Albrecht', 'Andy Tennant', 'Brian Frishman', 'Sal Lopez']",,,"$2,900,000","$2,900,000","February 8, 1980",['United States'],"Griffith Observatory - 2800 E Observatory Rd, Los Angeles, California, USA",['Walt Disney Productions'],,['Comedy'],['English']
96. Loving Couples,1980,1h 37m,PG,5.1,566,,Wife is cheating her husband and the husband is cheating her back with her lover's girlfriend. The two cheating couples decide to go to a resort but they unintentionally pick the same one. Hilarity ensues.,https://www.imdb.com/title/tt0081080/?ref_=sr_i_96,"['Shirley MacLaine', 'James Coburn', 'Susan Sarandon']",Jack Smight,"['Shirley MacLaine', 'James Coburn', 'Susan Sarandon', 'Stephen Collins', 'Sally Kellerman', 'Nan Martin', 'Shelly Batt', 'Bernard Behrens', 'Anne Bloom', 'Fred Carney']",,"$1,010,181","$2,806,659","$2,806,659","October 24, 1980",['United States'],"Southern California, California, USA",['Time Life Films'],,['Comedy'],['English']
97. The Idolmaker,1980,1h 57m,PG,6.9,1.6K,61.0,"Based on the life of rock promoter/producer Bob Marcucci, who discovered, among others, Frankie Avalon and Fabian.",https://www.imdb.com/title/tt0080913/?ref_=sr_i_97,"['Ray Sharkey', 'Tovah Feldshuh', 'Peter Gallagher']",Taylor Hackford,"['Ray Sharkey', 'Tovah Feldshuh', 'Peter Gallagher', 'Paul Land', 'Joe Pantoliano', 'Maureen McCormick', 'John Aprea', 'Richard Bright', 'Olympia Dukakis', 'Steve Peck']",,"$318,403","$2,625,716","$2,625,716","November 14, 1980",['United States'],"Los Angeles, California, USA","['Kirkwood', 'Koch Company']",1 win & 2 nominations total,"['Showbiz Drama', 'Biography', 'Drama', 'Music', 'Romance']","['English', 'Italian']"
98. The Black Marble,1980,1h 53m,PG,6.2,938,,"A show dog trainer in desperate need of money kidnaps a prized show dog and demands a ransom. The case falls into the hands of a melancholic detective and his new female partner, whose personal relationship develops throughout the case.",https://www.imdb.com/title/tt0080442/?ref_=sr_i_98,['Joseph Wambaugh'],Harold Becker,"['Robert Foxworth', 'Paula Prentiss', 'Harry Dean Stanton', 'Barbara Babcock', 'John Hancock', 'Raleigh Bond', 'Judy Landers', 'Pat Corley', 'Paul Henry Itkin', 'Richard Dix']","$3,000,000 (estimated)",,"$2,500,000","$2,500,000","March 7, 1980",['United States'],"Los Angeles, California, USA",['Black Marble Company'],1 win total,"['Romantic Comedy', 'Comedy', 'Crime', 'Drama', 'Romance']","['English', 'Russian']"
99. Gilda Live,1980,1h 36m,R,6.9,915,,"A filmed version of the Broadway show starring comedienne Gilda Radner, complete with the characters she made famous on the TV show Saturday Night Live (1975).",https://www.imdb.com/title/tt0080790/?ref_=sr_i_99,"['Anne Beatts', 'Lorne Michaels', 'Marilyn Suzanne Miller']",Mike Nichols,"['Gilda Radner', 'Don Novello', 'Paul Shaffer', 'Nils Nichols', 'Bob Christianson', 'Howard Shore', 'Diana Grasselli', 'Myriam Valle', 'Maria Vidal', 'Johnny Caruso']",,"$344,234","$2,261,507","$2,261,507","March 28, 1980",['United States'],,['Broadway Productions'],,"['Parody', 'Sketch Comedy', 'Comedy']",['English']
100. Windows,1980,1h 36m,R,4.8,997,,A weird woman admires and spies on her shy mousy neighbor with a telescope.,https://www.imdb.com/title/tt0081759/?ref_=sr_i_100,"['Talia Shire', 'Joe Cortese', 'Elizabeth Ashley']",Gordon Willis,"['Talia Shire', 'Joe Cortese', 'Elizabeth Ashley', 'Kay Medford', 'Michael Gorrin', 'Russell Horton', 'Michael Lipton', 'Rick Petrucelli', 'Ron Ryan', 'Linda Gillen']",,"$311,796","$2,128,395","$2,128,395","January 18, 1980",['United States'],"9 Cranberry Street, Brooklyn Heights, Brooklyn, New York City, New York, USA",['Mike Lobell Productions'],6 nominations total,"['Drama', 'Thriller']",['English']
101. Just Tell Me What You Want,1980,1h 52m,R,5.4,772,,"A married, egotistical, middle-aged head of a corporate empire man and his mistress and protegee, who wants a more serious commitment and ends up dating a younger man, are in a casual love/hate relationship and engage in a battle of wits.",https://www.imdb.com/title/tt0080975/?ref_=sr_i_101,['Jay Presson Allen'],Sidney Lumet,"['Ali MacGraw', 'Alan King', 'Myrna Loy', 'Keenan Wynn', 'Tony Roberts', 'Peter Weller', 'Sara Truslow', 'Judy Kaye', 'Dina Merrill', 'Joseph Maher']",,"$197,230","$2,086,905","$2,086,905","January 18, 1980",['United States'],"Old Westbury Gardens - 71 Old Westbury Road, Old Westbury, Long Island, New York, USA",['Warner Bros.'],1 win & 1 nomination total,"['Comedy', 'Romance']",['English']
"102. Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,1h 15m,G,7.1,3.7K,68.0,Charlie Brown and his friends travel to Europe as exchange students.,https://www.imdb.com/title/tt0080461/?ref_=sr_i_102,['Charles M. Schulz'],Bill Melendez,"['Scott Beach', 'Bill Melendez', 'Daniel Anderson', 'Casey Carlson', 'Debbie Muller', 'Patricia Patts', 'Laura Planting', 'Arrin Skelley', 'Annalisa Bortolin', 'Roseline Rubens']",,,"$2,013,193","$2,013,193","May 30, 1980",['United States'],,"['Lee Mendelson Film Productions', 'Bill Melendez Productions', 'Charles M. Schulz Creative Associates']",,"['Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Mystery']","['English', 'French']"
103. Carny,1980,1h 47m,R,6.4,2.6K,68.0,"Tired of her dull job as a waitress, Donna decides to join two carnival hustlers and see what life in their field is like.",https://www.imdb.com/title/tt0080500/?ref_=sr_i_103,"['Phoebe Kaylor', 'Robert Kaylor', 'Robbie Robertson']",Robert Kaylor,"['Gary Busey', 'Jodie Foster', 'Robbie Robertson', 'Meg Foster', 'Kenneth McMillan', 'Elisha Cook Jr.', 'Tim Thomerson', 'Teddy Wilson', 'John Lehne', 'Bill McKinney']","$5,500,000 (estimated)",,"$1,817,720","$1,817,720","May 23, 1980",['United States'],"Savannah, Georgia, USA",['Lorimar Productions'],,['Drama'],['English']
104. Why Would I Lie?,1980,1h 45m,PG,5.9,314,,"Cletus is a compulsive liar, though he prefers the term 'fabrication' to 'lie.' When he becomes a social worker, he's assigned the case of a boy named Jeorge (with a 'J') who was taken from his mother. Cletus sets out to reunite Jorge with his mother, but to do this, he must fabricate many a story to keep Jeorge from being adopted. In search of the mother, Cletus meets and falls in love with a women's-advice counselor.",https://www.imdb.com/title/tt0081753/?ref_=sr_i_104,"['Treat Williams', 'Lisa Eichhorn', 'Gabriel Macht']",Larry Peerce,"['Treat Williams', 'Lisa Eichhorn', 'Gabriel Macht', 'Susan Heldfond', 'Anne Byrne Hoffman', 'Valerie Curtin', 'Jocelyn Brando', 'Nicolas Coster', 'Severn Darden', 'Sonny Carl Davis']","$4,500,000 (estimated)","$52,473","$1,175,855","$1,175,855","August 8, 1980",['United States'],"Spokane, Washington, USA",['Metro-Goldwyn-Mayer (MGM)'],2 nominations total,"['Comedy', 'Drama']",['English']
105. Nijinsky,1980,2h 9m,R,6.6,858,,"The story of Vaslav Nijinsky, who is widely believed to be one of the greatest ballet dancers of all time. Based on Romola Nijinsky's ""Last Years Of Nijinski.",https://www.imdb.com/title/tt0081235/?ref_=sr_i_105,"['Alan Bates', 'George De La Pena', 'Leslie Browne']",Herbert Ross,"['Alan Bates', 'George De La Pena', 'Leslie Browne', 'Alan Badel', 'Carla Fracci', 'Colin Blakely', 'Ronald Pickup', 'Ronald Lacey', 'Vernon Dobtcheff', 'Jeremy Irons']",,,"$1,047,454","$1,047,454","March 21, 1980",['United States'],"London, England, UK",['Hera Productions'],,"['Period Drama', 'Biography', 'Drama', 'Music', 'Romance']",['English']
106. Heart Beat,1980,1h 50m,R,5.7,759,,"The life and friendship among the icons of the Beat Generation: Neal Cassady, Carolyn Cassady, and Jack Kerouac.",https://www.imdb.com/title/tt0080854/?ref_=sr_i_106,"['Nick Nolte', 'Sissy Spacek', 'John Heard']",John Byrum,"['Nick Nolte', 'Sissy Spacek', 'John Heard', 'Ray Sharkey', 'Ann Dusenberry', 'Margaret Fairchild', 'Tony Bill', 'Mary Margaret Amato', 'Kent Williams', 'Susan Niven']",,"$74,303","$954,046","$954,046","September 24, 1980",['United States'],"Rockwell Defense Plant - Bellflower & Imperial Highway, Downey, California, USA","['Further Productions', 'Orion Pictures']",,['Drama'],['English']
107. One-Trick Pony,1980,1h 38m,R,6.0,803,,"Jonah (Paul Simon) is a once-popular folk-rock musician trying to put together a new album in the face of an indifferent record-company executive and a talentless producer. At the same time, he's struggling to save his failing marriage.",https://www.imdb.com/title/tt0081280/?ref_=sr_i_107,"['Paul Simon', 'Blair Brown', 'Rip Torn']",Robert M. Young,"['Paul Simon', 'Blair Brown', 'Rip Torn', 'Joan Hackett', 'Allen Garfield', 'Mare Winningham', 'Michael Pearlman', 'Lou Reed', 'Steve Gadd', 'Eric Gale']",,"$150,809","$843,215","$843,215","October 3, 1980",['United States'],"Cleveland, Ohio, USA",['Warner Bros.'],1 nomination total,"['Comedy', 'Drama', 'Music', 'Romance']",['English']
"108. Those Lips, Those Eyes",1980,1h 45m,R,6.4,337,,Stagestruck adolescent learns about love the hard way while interning in Cleveland summer stock during the early '50's.,https://www.imdb.com/title/tt0081625/?ref_=sr_i_108,"['Frank Langella', ""Glynnis O'Connor"", 'Tom Hulce']",Michael Pressman,"['Frank Langella', ""Glynnis O'Connor"", 'Tom Hulce', 'Jerry Stiller', 'Herbert Berghof', 'Kevin McCarthy', 'Joseph Maher', 'George Morfogen', 'Marshall Colt', 'Anthony Mannino']",,"$63,766","$804,713","$804,713","August 15, 1980",['United States'],"Cleveland Heights, Ohio, USA",['Herb Jaffe'],,"['Comedy', 'Romance']",['English']
109. A Small Circle of Friends,1980,1h 53m,R,5.9,520,,"Harvard in the 60's: a time of social upheaval and student unrest. Three students bond together, challenge the system, and begin to lose their ideals.",https://www.imdb.com/title/tt0081528/?ref_=sr_i_109,"['Brad Davis', 'Karen Allen', 'Jameson Parker']",Rob Cohen,"['Brad Davis', 'Karen Allen', 'Jameson Parker', 'Shelley Long', 'John Friedrich', 'Gary Springer', 'Craig Richard Nelson', 'Harry Caesar', 'Nan Martin', 'Daniel Stern']","$6,000,000 (estimated)","$61,109","$766,760","$766,760","October 9, 1980",['United States'],"Harvard University, Cambridge, Massachusetts, USA",['Small Circle of Friends Inc.'],,['Drama'],['English']
110. Sunday Lovers,1980,2h 5m,R,5.5,445,,"A sex comedy anthology containing four stories, each from a different country (England, France, the U.S., and Italy).",https://www.imdb.com/title/tt0081591/?ref_=sr_i_110,"['Bryan Forbes', 'Édouard Molinaro', 'Dino Risi']",Bryan Forbes,"['Roger Moore', 'Lino Ventura', 'Ugo Tognazzi', 'Gene Wilder', 'Lynn Redgrave', 'Kathleen Quinlan', 'Catherine Salviat', 'Priscilla Barnes', 'Liù Bosisio', 'Denholm Elliott']",,,"$621,931","$621,931","October 31, 1980","['France', 'Italy', 'United Kingdom', 'United States']","Heathrow Airport, The Compass Centre, Nelson Road, Hounslow, Greater London, England, UK","['Viaduc Productions', 'Medusa Distribuzione']",,"['Comedy', 'Drama', 'Romance']","['French', 'English', 'Italian']"
111. Cattle Annie and Little Britches,1980,1h 37m,PG,6.1,1K,,"In 19th-century Oklahoma, two teen girls who love stories about outlaws are on a quest to meet and join up with them. They find a shadow of a former gang and, although disappointed, still try to help them escape from a vigorous Marshal.",https://www.imdb.com/title/tt0082145/?ref_=sr_i_111,"['David Eyre', 'Robert Ward']",Lamont Johnson,"['Scott Glenn', 'Redmond Gleeson', 'William Russ', 'Kenny Call', 'John Savage', 'Buck Taylor', 'Michael Conrad', 'Amanda Plummer', 'Diane Lane', 'Burt Lancaster']","$5,100,000 (estimated)","$115,679","$534,816","$534,816","April 24, 1981",['United States'],"Durango, Mexico","['Cattle Annie Productions', 'Hemdale', 'Monday Films']",1 win total,"['Coming-of-Age', 'Costume Drama', 'Period Drama', 'Drama', 'Western']",['English']
112. Leo and Loree,1980,1h 37m,PG,4.9,78,,"Ralph Malph from Philly moves to Hollywood with dreams of making it big, amazingly hooks up with starlet-to-be, loses starlet-to-be, gets back starlet-to-be, and becomes someone.",https://www.imdb.com/title/tt0081044/?ref_=sr_i_112,['James Ritz'],Jerry Paris,"['Don Most', 'Linda Purl', 'David Huffman', 'Jerry Paris', 'Shannon Farnon', 'Allan Rich', 'Susan Lawrence', 'Alicia Dhanifu', 'Jill Jacobson']",,,"$517,988","$517,988",April 1980,['United States'],"Cheviot Hills Rec Center Baseball Diamond, California","['Big H Productions', 'Major H Productions']",,"['Comedy', 'Romance']",['English']
113. The Sea Wolves,1980,2h,PG,6.3,5.6K,,"During World War II, British Intelligence brings a crew of ex-soldiers out of retirement, using their age as cover, to take to the seas and pull off an unlikely undercover mission in neutral Goa.",https://www.imdb.com/title/tt0081470/?ref_=sr_i_113,"['Gregory Peck', 'Roger Moore', 'David Niven']",Andrew V. McLaglen,"['Gregory Peck', 'Roger Moore', 'David Niven', 'Trevor Howard', 'Barbara Kellerman', 'Patrick Macnee', 'Kenneth Griffith', 'Patrick Allen', 'Wolf Kahler', 'Robert Hoffmann']","$12,000,000 (estimated)",,"$220,181","$220,181","June 5, 1981","['United Kingdom', 'United States', 'Switzerland']","Goa, India","['Lorimar Productions', 'Richmond Light Horse Productions', 'Varius Entertainment Trading A.G.']",,"['Spy', 'Action', 'History', 'War']","['English', 'German', 'Portuguese']"
114. Babylon,1980,1h 35m,,7.3,2.1K,80.0,The movie centres around Brindsley Forde's character Blue. He fronts a reggae sound system based in South West London (Brixton). The film captures the trials and tribulations of young black youths in troubled London in the early eighties.,https://www.imdb.com/title/tt0080406/?ref_=sr_i_114,"['David N. Haynes', 'Trevor Laird', 'Victor Romero Evans']",Franco Rosso,"['David N. Haynes', 'Trevor Laird', 'Victor Romero Evans', 'Brian Bovell', 'Archie Pool', 'Brinsley Forde', 'Karl Howman', 'Beverley Michaels', 'Ann Duncan', 'Beverley Dublin']",,"$21,214","$111,456","$109,749",November 1980,"['United Kingdom', 'Italy']","London, England, UK",['Diversity Music'],,['Drama'],['English']
115. Phobia,1980,1h 31m,R,4.3,904,,"A psychiatrist involved in a radical new therapy comes under suspicion when his patients are murdered, each according to their individual phobias.",https://www.imdb.com/title/tt0081334/?ref_=sr_i_115,"['Lew Lehman', 'Jimmy Sangster', 'Peter Bellwood']",John Huston,"['Paul Michael Glaser', 'Susan Hogan', 'John Colicos', 'David Bolt', 'Patricia Collins', 'David Eisner', 'Lisa Langlois', ""Robert O'Ree"", 'Alexandra Stewart', 'Neil Vipond']","$5,100,000 (estimated)",,"$59,167","$59,167","September 26, 1980",['Canada'],"Humber College - 3199 Lake Shore Blvd, Toronto, Ontario, Canada",['Borough Park Productions'],2 nominations total,"['Drama', 'Horror', 'Thriller']",['English']
